Ciqual  AGB,Ciqual  code,Groupe d'aliment,Sous-groupe d'aliment,Nom Français,LCI Name,Ingredients,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux
23494,23494,produits céréaliers,gâteaux et pâtisseries,Tarte aux abricots,Apricots tart,Beurre,0.08350899199999999,0.88973345,2.0340819e-8,0.062075089,0.0014501783,6.8170579e-8,1.166816e-8,4.9363473e-10,0.010096303,0.00009763072,0.0032606116,0.043893055,9.9364758,52.684628,0.28862506,2.5885443,0.0000022470205
23494,23494,produits céréaliers,gâteaux et pâtisseries,Tarte aux abricots,Apricots tart,Farine de blé,0.012263963000000001,0.087496203,5.6002766e-9,0.0090463599,0.0002660004,8.819753e-9,5.5090424e-10,1.3996082e-10,0.0013617932,0.000020127403,0.00091642966,0.0058803879,1.75335047,11.91248,0.039710738,0.62153853,4.1289576e-7
23494,23494,produits céréaliers,gâteaux et pâtisseries,Tarte aux abricots,Apricots tart,Sucre blanc,0.008780301300000001,0.039637408,3.0104786e-9,0.0024039379,0.00015680552,8.9474796e-9,4.5365016e-10,3.1180837e-11,0.0012875124,0.000010691124,0.00041159462,0.0054914589,0.63095371,2.438627,0.16905417,0.40152781,3.3086855e-7
23494,23494,produits céréaliers,gâteaux et pâtisseries,Tarte aux abricots,Apricots tart,Autres étapes,0.063954676,0.57082882,4.802432500000001e-8,0.503850944,0.00135360538,2.71659816e-8,5.6713023999999996e-9,2.03691602e-10,0.0023503567000000003,0.000047182819000000004,0.00114544323,0.0064786216,1.97036224,4.2852158,0.265195403,18.3690043,0.0000018246236600000001
11111,11111,aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée","Armorican-style sauce, prepacked",Beurre,0.19766349,2.1059746,4.814616e-8,0.14693003,0.0034325322,1.6135788e-7,2.7618213e-8,1.1684198e-9,0.023897671,0.00023108923,0.0077177778,0.10389365,23.5193651,124.70306,0.68316756,6.1270132,0.0000053186358
11111,11111,aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée","Armorican-style sauce, prepacked",Huile de poisson,0.08346137599999999,0.69276835,1.0313471e-7,0.029378973,0.0063874025,7.97005e-8,4.2925575e-9,4.5336244e-10,0.0094381724,0.000082458125,0.0022275724,0.02380637,2.12241453,2.2914398,0.3547445,9.838199,0.0000055022194
11111,11111,aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée","Armorican-style sauce, prepacked",Farine de blé,0.023095638,0.16477387,1.0546506e-8,0.017036211,0.00050093506,1.6609462e-8,1.0374693e-9,2.6357584e-10,0.0025645449,0.00003790416,0.001725831,0.011074015,3.30193008,22.433721,0.074783725,1.1704886,7.7757012e-7
11111,11111,aides culinaires et ingrédients divers,sauces,"Sauce armoricaine, préemballée","Armorican-style sauce, prepacked",Autres étapes,0.08200317600000001,0.58627842,1.374218e-7,0.75602295,0.0015618591000000001,2.8560779600000003e-8,7.787201e-9,3.1968329e-10,0.0027472043999999998,0.0001007994,0.00131799199,0.008116128,5.7817463700000005,4.9801373,0.31892160199999997,22.572237,0.000005615873740000001
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",Carotte,0.044818826000000006,0.16160164,2.1479843e-8,0.038763642,0.0006439766,1.3479875e-8,8.4182049e-9,1.9058801e-10,0.0016989271,0.000042717361,0.0013653128,0.0052544491,20.1450159,9.6538875,2.3000179,2.3767463,0.0000016283407
11172,11172,aides culinaires et ingrédients divers,aides culinaires,"Court-bouillon pour poissons, déshydraté","Aromatic stock cube, for fish, dehydrated",Poireau,0.076439666,0.49926697,5.0540162e-8,0.055261843,0.0021563352,6.2877827e-8,3.6621789e-8,4.5194208e-10,0.0055150122,0.000046644683,0.0023833151,0.035625912,12.0489134,11.783354,1.7211446,4.1061419,0.0000022952438
